"provincia","count","lc0_desc","lc1_desc","lu1_desc"
"Badajoz","2","Shrubland","Shrubland without tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Badajoz","2","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Badajoz","1","Shrubland","Shrubland with sparse tree cover","Semi-natural and natural areas not in use"
"Badajoz","1","Cropland","Triticale","Agriculture (excluding fallow land and kitchen gardens)"
"Badajoz","1","Cropland","Other fruit trees and berries","Agriculture (excluding fallow land and kitchen gardens)"
"Badajoz","1","Woodland","Pine dominated coniferous woodland","Forestry"
"Badajoz","1","Grassland","Grassland with sparse tree/shrub cover","Semi-natural and natural areas not in use"
"Badajoz","1","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Badajoz","1","Cropland","Temporary grassland","Agriculture (excluding fallow land and kitchen gardens)"
"Barcelona","1","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Barcelona","1","Cropland","Vineyards","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","40","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","35","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","11","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Burgos","11","Bareland","Other bare soil","Fallow land"
"Burgos","11","Cropland","Sunflower","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","10","Woodland","Broadleaved woodland","Forestry"
"Burgos","9","Cropland","Dry pulses","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","8","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","7","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Burgos","7","Woodland","Pine dominated coniferous woodland","Forestry"
"Burgos","7","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Burgos","6","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Burgos","6","Cropland","Lucerne","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","3","Shrubland","Shrubland without tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","2","Shrubland","Shrubland with sparse tree cover","Semi-natural and natural areas not in use"
"Burgos","2","Cropland","Rye","Agriculture (excluding fallow land and kitchen gardens)"
