Depth;POINTID;OC;TH_LAT;TH_LONG;SURVEY_DATE;Elev;LC0_Desc;LC1_Desc;LU1_Desc
0-20 cm;43802702;141.5;47.42880562;10.78148522;31/05/18;1049;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;43862700;166.5;47.41020633;10.86065374;25/06/18;11104;Woodland;Broadleaved woodland;Forestry
0-20 cm;43902682;41.4;47.24776526;10.9107731;23/07/18;11145;Woodland;Spruce dominated coniferous woodland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;43962686;39.8;47.28307539;10.99064648;23/07/18;10690;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44042690;67.2;47.31806256;11.09706043;25/06/18;10701;Woodland;Other mixed woodland;Forestry
0-20 cm;44082690;174.5;47.31751655;11.1499235;25/06/18;11392;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;44102696;95.5;47.37123363;11.17757638;25/06/18;11348;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;44142686;289.3;47.28064918;11.22836698;25/06/18;824;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;44222668;81.6;47.11739919;11.329884;16/07/18;1029;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44282656;278.9;47.00839286;11.4059735;13/05/18;1411;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44302680;    56.2;47.22405776;11.4381661;22/06/18;1074;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44302682;45.9;47.24205742;11.43866214;22/06/18;869;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44382670;50.8;47.13261103;11.54103862;20/06/18;1386;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44382684;121.2;47.25860702;11.54475892;16/07/18;1089;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;44382686;85.5;47.27660575;11.54529227;16/07/18;628;Shrubland;Shrubland with sparse tree cover;Forestry
0-20 cm;44402664;54.7;47.07823314;11.56575983;13/05/18;1483;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;44502714;285.2;47.52618885;11.71202377;08/06/18;1001;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;44562702;494.7;47.41693905;11.78789624;08/06/18;904;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;44582712;64.6;47.50647746;11.81752698;08/06/18;1058;Woodland;Other mixed woodland;Forestry
0-20 cm;44622708;70.2;47.46959154;11.86927424;14/05/18;580;Woodland;Broadleaved woodland;Forestry
0-20 cm;44662698;86.2;47.37869559;11.91895201;18/07/18;1367;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;44782720;134.8;47.57370662;12.08564496;26/05/18;1021;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;44822704;57.4;47.42873932;12.13281706;18/07/18;866;Woodland;Other mixed woodland;Forestry
0-20 cm;44862710;21.4;47.48166716;12.18805697;18/07/18;1145;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
