id,datoid,band,long,lat,read,map,map_rescaled
40014,3924,8A,2.4242253470342536,39.056592035452994,2.45,1326.5,0.13265
40015,7650,05,3.7270400380332105,38.84709565385727,1.64,1327.5,0.13275
40016,4816,06,2.8747138881032015,37.96793605847266,0.19,1296,0.1296
40017,3738,03,2.5142981943725546,38.84710048828858,3.08,1402,0.1402
40018,11198,06,3.682114579208688,38.00260115960261,1.99,1296,0.1296
40019,4155,08,3.1880444392173244,38.24993236625371,2.49,1308.5,0.13085
40020,7708,03,3.8617878444874814,38.74207345970794,1.26,1402,0.1402
40021,8513,07,2.6939624639220927,37.576657643961234,2.02,1298,0.1298
40022,4450,12,1.6545390621848688,39.16154312595174,17.09,1301.5,0.13015
40023,8336,06,3.0532953742233406,38.46126362013358,0.69,1296,0.1296
40024,5131,06,2.3344621489743878,38.249622230010225,3.18,1296,0.1296
40025,11338,03,3.637198070299342,37.75442954882963,1.44,1402,0.1402
40026,11447,11,4.167559117401503,37.94804756791635,1.78,1291,0.1291
40027,8525,04,2.64904692968483,37.541051558275306,1.18,1317,0.1317
40028,4827,12,2.783795203263048,37.931781811684495,1.08,1301.5,0.13015
40029,5996,08,3.0532851882263343,37.1124539963632,1.43,1308.5,0.13085
40030,3917,03,2.5592181842536275,39.12640577281899,2.25,1402,0.1402
40031,7520,11,4.670227864817128,39.09139878381984,3.96,1291,0.1291
40032,5883,06,3.0982024328558984,37.327058195963104,8.01,1296,0.1296
40033,13557,04,4.490656754155814,37.96719379921342,1.64,1317,0.1317
40034,4018,12,2.7351636468175244,39.091063657551416,6.39,1301.5,0.13015
40035,7887,06,4.176197552532201,38.461676427289454,1.6,1296,0.1296
40036,7834,8A,3.771931375249981,38.21522254112709,0.56,1326.5,0.13265
40037,8148,05,3.098211773538223,38.91702936599093,2.98,1327.5,0.13275
40038,4371,02,1.7213546265303123,38.91262959089212,7.58,1600,0.16
40039,7746,06,3.996670347030399,38.671656502914665,1.25,1296,0.1296
40040,7885,03,4.086365480639501,38.46111487758246,0.83,1402,0.1402
40041,4902,04,1.7827670067997798,38.59294297425526,5.28,1317,0.1317
40042,5997,11,3.0982007449214795,37.11245379578128,2.93,1291,0.1291
40043,4810,06,3.7198028399984473,38.25770617232003,15.46,1296,0.1296
40044,8569,06,2.6939626058559076,37.754434030481804,0.41,1296,0.1296
40045,5976,8A,2.604133394199073,37.148265609067934,7.82,1326.5,0.13265
40046,4083,06,3.0532949744730393,38.39088827090044,1.52,1296,0.1296
40047,4811,05,1.7025640617775102,38.702926338816496,20.99,1327.5,0.13275
40048,3911,07,2.2897185603673424,39.12640568222548,7.31,1298,0.1298
