,band,long,lat,read,map,map_rescaled
35,05,-3.94419027,41.71853628,0.61188,2174,0.2174
36,05,-3.91361126,41.71956208,0.61188,1738,0.1738
37,05,-3.90781307,41.71987848,0.61188,2147,0.2147
38,05,-3.90681672,41.71994628,0.61188,2082,0.2082
39,05,-3.9124933,41.72076883,0.61188,2277,0.2277
40,05,-3.94411038,41.72067871,0.61188,1876,0.18760000000000002
41,05,-3.90024565,41.72011813,0.61188,1840,0.184
42,05,-3.91181807,41.72109917,0.61188,2021,0.2021
43,05,-3.9115285,41.72103325,0.61188,1922,0.1922
44,05,-3.91331269,41.72120966,0.61188,1741,0.1741
45,05,-3.9041599,41.72160052,0.61188,1732,0.17320000000000002
46,05,-3.90385788,41.72110109,0.61188,1925,0.1925
47,05,-3.91185589,41.72159472,0.61188,2093,0.2093
48,05,-3.91105778,41.7217198,0.61188,1987,0.19870000000000002
49,05,-3.90418023,41.72215188,0.61188,1721,0.1721
50,05,-3.90444162,41.72251603,0.61188,1697,0.16970000000000002
51,05,-3.90252646,41.72154771,0.61188,1801,0.1801
52,05,-3.90749706,41.72154579,0.61188,2054,0.2054
53,05,-3.91035506,41.72224809,0.61188,1981,0.1981
54,05,-3.90205114,41.72300271,0.61188,1735,0.17350000000000002
55,05,-3.90281799,41.72302772,0.61188,1737,0.17370000000000002
56,05,-3.9022294,41.72324916,0.61188,1847,0.1847
57,05,-3.91101339,41.72246832,0.61188,1970,0.197
58,05,-3.94504108,41.72298833,0.61188,2598,0.25980000000000003
59,05,-3.9053639,41.72355976,0.61188,1708,0.1708
60,05,-3.90900474,41.72250409,0.61188,2191,0.21910000000000002
61,05,-3.90959349,41.72371342,0.61188,2244,0.22440000000000002
62,05,-3.91092702,41.72378204,0.61188,2121,0.2121
63,05,-3.94301008,41.72251453,0.61188,1604,0.16040000000000001
64,05,-3.93402688,41.72532608,0.61188,6952,0.6952
65,05,-3.93335145,41.72545701,0.61188,6405,0.6405000000000001
